Date,Open,High,Low,Close,Volume,Adj Close
07/02/2014,111.91,112.12,110.39,112.05,7071800,107.1394
06/02/2014,110.11,111.35,109.91,111.27,7983300,106.39358
05/02/2014,111,111,109.27,109.52,10562900,104.72028
04/02/2014,111.86,112.04,110.49,110.83,9717200,105.97287
03/02/2014,112.35,112.46,110.54,111.14,11275300,106.26928
31/01/2014,113.9,113.9,111.11,111.63,15523500,106.7378
30/01/2014,116.31,116.96,115.18,116.45,5538700,111.34657
29/01/2014,116.14,116.89,115.71,116,5522100,110.91629
28/01/2014,116.72,117.03,116.07,116.84,4303700,111.71947
27/01/2014,116.26,117.25,115.88,116.43,6179500,111.32745
24/01/2014,117.87,118.14,116.26,116.29,7094900,111.19358
23/01/2014,119.84,119.85,118.26,118.39,6205800,113.20155
22/01/2014,120.51,120.76,119.97,120.43,4977500,115.15215
21/01/2014,120.74,120.89,119.51,120.36,5602300,115.08521
17/01/2014,119.03,120.38,118.74,119.29,7199700,114.0621
16/01/2014,119.11,119.29,118.19,118.83,5041100,113.62227
15/01/2014,119.69,120.07,119.05,119.18,5829300,113.95692
14/01/2014,119.4,119.75,118.8,119.57,6904600,114.32983
13/01/2014,120.81,120.9,119.01,119.25,6504200,114.02386
